scenario_mode,condition,seed,duration,warmup_seconds,scenario_start_hour,batch_name,run_id,output_dir,validation_target,isolate_exogenous_arrival_stream
normal_load,baseline,15,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_15,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_15,care_area,True
normal_load,baseline,16,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_16,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_16,care_area,True
normal_load,baseline,17,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_17,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_17,care_area,True
normal_load,baseline,18,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_18,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_18,care_area,True
normal_load,baseline,19,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_19,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_19,care_area,True
normal_load,baseline,20,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_20,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_20,care_area,True
normal_load,baseline,21,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_21,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_21,care_area,True
normal_load,baseline,22,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_22,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_22,care_area,True
normal_load,baseline,23,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_23,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_23,care_area,True
normal_load,baseline,24,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_24,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_24,care_area,True
normal_load,baseline,25,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_25,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_25,care_area,True
normal_load,baseline,26,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_26,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_26,care_area,True
normal_load,baseline,27,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_27,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_27,care_area,True
normal_load,baseline,28,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_28,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_28,care_area,True
normal_load,baseline,29,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_29,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_29,care_area,True
normal_load,baseline,30,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_baseline_seed_30,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/baseline/seed_30,care_area,True
normal_load,cockpit_only,1,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_1,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_1,care_area,True
normal_load,cockpit_only,2,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_2,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_2,care_area,True
normal_load,cockpit_only,3,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_3,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_3,care_area,True
normal_load,cockpit_only,4,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_4,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_4,care_area,True
normal_load,cockpit_only,5,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_5,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_5,care_area,True
normal_load,cockpit_only,6,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_6,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_6,care_area,True
normal_load,cockpit_only,7,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_7,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_7,care_area,True
normal_load,cockpit_only,8,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_8,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_8,care_area,True
normal_load,cockpit_only,9,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_9,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_9,care_area,True
normal_load,cockpit_only,10,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_10,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_10,care_area,True
normal_load,cockpit_only,11,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_11,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_11,care_area,True
normal_load,cockpit_only,12,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_12,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_12,care_area,True
normal_load,cockpit_only,13,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_13,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_13,care_area,True
normal_load,cockpit_only,14,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_14,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_14,care_area,True
normal_load,cockpit_only,15,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_15,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_15,care_area,True
normal_load,cockpit_only,16,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_16,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_16,care_area,True
normal_load,cockpit_only,17,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_17,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_17,care_area,True
normal_load,cockpit_only,18,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_18,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_18,care_area,True
normal_load,cockpit_only,19,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_19,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_19,care_area,True
normal_load,cockpit_only,20,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_20,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_20,care_area,True
normal_load,cockpit_only,21,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_21,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_21,care_area,True
normal_load,cockpit_only,22,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_22,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_22,care_area,True
normal_load,cockpit_only,23,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_23,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_23,care_area,True
normal_load,cockpit_only,24,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_24,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_24,care_area,True
normal_load,cockpit_only,25,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_25,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_25,care_area,True
normal_load,cockpit_only,26,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_26,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_26,care_area,True
normal_load,cockpit_only,27,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_27,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_27,care_area,True
normal_load,cockpit_only,28,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_28,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_28,care_area,True
normal_load,cockpit_only,29,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_29,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_29,care_area,True
normal_load,cockpit_only,30,43200,7200,10,part2_warmup_audit_n30,normal_load_warmup_2h_cockpit_only_seed_30,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_2h/cockpit_only/seed_30,care_area,True
normal_load,baseline,1,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_1,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_1,care_area,True
normal_load,baseline,2,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_2,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_2,care_area,True
normal_load,baseline,3,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_3,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_3,care_area,True
normal_load,baseline,4,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_4,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_4,care_area,True
normal_load,baseline,5,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_5,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_5,care_area,True
normal_load,baseline,6,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_6,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_6,care_area,True
normal_load,baseline,7,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_7,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_7,care_area,True
normal_load,baseline,8,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_8,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_8,care_area,True
normal_load,baseline,9,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_9,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_9,care_area,True
normal_load,baseline,10,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_10,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_10,care_area,True
normal_load,baseline,11,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_11,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_11,care_area,True
normal_load,baseline,12,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_12,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_12,care_area,True
normal_load,baseline,13,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_13,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_13,care_area,True
normal_load,baseline,14,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_14,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_14,care_area,True
normal_load,baseline,15,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_15,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_15,care_area,True
normal_load,baseline,16,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_16,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_16,care_area,True
normal_load,baseline,17,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_17,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_17,care_area,True
normal_load,baseline,18,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_18,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_18,care_area,True
normal_load,baseline,19,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_19,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_19,care_area,True
normal_load,baseline,20,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_20,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_20,care_area,True
normal_load,baseline,21,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_21,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_21,care_area,True
normal_load,baseline,22,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_22,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_22,care_area,True
normal_load,baseline,23,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_23,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_23,care_area,True
normal_load,baseline,24,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_24,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_24,care_area,True
normal_load,baseline,25,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_25,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_25,care_area,True
normal_load,baseline,26,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_26,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_26,care_area,True
normal_load,baseline,27,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_27,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_27,care_area,True
normal_load,baseline,28,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_28,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_28,care_area,True
normal_load,baseline,29,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_29,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_29,care_area,True
normal_load,baseline,30,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_baseline_seed_30,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/baseline/seed_30,care_area,True
normal_load,cockpit_only,1,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_1,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_1,care_area,True
normal_load,cockpit_only,2,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_2,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_2,care_area,True
normal_load,cockpit_only,3,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_3,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_3,care_area,True
normal_load,cockpit_only,4,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_4,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_4,care_area,True
normal_load,cockpit_only,5,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_5,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_5,care_area,True
normal_load,cockpit_only,6,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_6,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_6,care_area,True
normal_load,cockpit_only,7,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_7,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_7,care_area,True
normal_load,cockpit_only,8,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_8,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_8,care_area,True
normal_load,cockpit_only,9,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_9,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_9,care_area,True
normal_load,cockpit_only,10,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_10,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_10,care_area,True
normal_load,cockpit_only,11,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_11,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_11,care_area,True
normal_load,cockpit_only,12,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_12,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_12,care_area,True
normal_load,cockpit_only,13,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_13,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_13,care_area,True
normal_load,cockpit_only,14,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_14,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_14,care_area,True
normal_load,cockpit_only,15,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_15,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_15,care_area,True
normal_load,cockpit_only,16,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_16,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_16,care_area,True
normal_load,cockpit_only,17,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_17,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_17,care_area,True
normal_load,cockpit_only,18,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_18,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_18,care_area,True
normal_load,cockpit_only,19,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_19,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_19,care_area,True
normal_load,cockpit_only,20,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_20,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_20,care_area,True
normal_load,cockpit_only,21,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_21,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_21,care_area,True
normal_load,cockpit_only,22,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_22,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_22,care_area,True
normal_load,cockpit_only,23,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_23,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_23,care_area,True
normal_load,cockpit_only,24,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_24,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_24,care_area,True
normal_load,cockpit_only,25,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_25,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_25,care_area,True
normal_load,cockpit_only,26,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_26,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_26,care_area,True
normal_load,cockpit_only,27,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_27,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_27,care_area,True
normal_load,cockpit_only,28,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_28,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_28,care_area,True
normal_load,cockpit_only,29,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_29,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_29,care_area,True
normal_load,cockpit_only,30,43200,10800,10,part2_warmup_audit_n30,normal_load_warmup_3h_cockpit_only_seed_30,outputs/batch/part2_warmup_audit_n30/normal_load/warmup_3h/cockpit_only/seed_30,care_area,True
high_load_high_acuity,baseline,1,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_1,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_1,care_area,True
high_load_high_acuity,baseline,2,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_2,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_2,care_area,True
high_load_high_acuity,baseline,3,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_3,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_3,care_area,True
high_load_high_acuity,baseline,4,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_4,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_4,care_area,True
high_load_high_acuity,baseline,5,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_5,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_5,care_area,True
high_load_high_acuity,baseline,6,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_6,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_6,care_area,True
high_load_high_acuity,baseline,7,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_7,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_7,care_area,True
high_load_high_acuity,baseline,8,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_8,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_8,care_area,True
high_load_high_acuity,baseline,9,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_9,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_9,care_area,True
high_load_high_acuity,baseline,10,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_10,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_10,care_area,True
high_load_high_acuity,baseline,11,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_11,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_11,care_area,True
high_load_high_acuity,baseline,12,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_12,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_12,care_area,True
high_load_high_acuity,baseline,13,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_13,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_13,care_area,True
high_load_high_acuity,baseline,14,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_14,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_14,care_area,True
high_load_high_acuity,baseline,15,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_15,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_15,care_area,True
high_load_high_acuity,baseline,16,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_16,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_16,care_area,True
high_load_high_acuity,baseline,17,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_17,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_17,care_area,True
high_load_high_acuity,baseline,18,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_18,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_18,care_area,True
high_load_high_acuity,baseline,19,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_19,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_19,care_area,True
high_load_high_acuity,baseline,20,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_20,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_20,care_area,True
high_load_high_acuity,baseline,21,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_21,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_21,care_area,True
high_load_high_acuity,baseline,22,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_22,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_22,care_area,True
high_load_high_acuity,baseline,23,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_23,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_23,care_area,True
high_load_high_acuity,baseline,24,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_24,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_24,care_area,True
high_load_high_acuity,baseline,25,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_25,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_25,care_area,True
high_load_high_acuity,baseline,26,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_26,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_26,care_area,True
high_load_high_acuity,baseline,27,43200,0,10,part2_warmup_audit_n30,high_load_warmup_0h_baseline_seed_27,outputs/batch/part2_warmup_audit_n30/high_load/warmup_0h/baseline/seed_27,care_area,True
